,Date,Total_Crimes
1224,2004-05-12,1369
1225,2004-05-13,1246
1226,2004-05-14,1398
1227,2004-05-15,1325
1228,2004-05-16,1223
1229,2004-05-17,1406
1230,2004-05-18,1400
1231,2004-05-19,1361
1232,2004-05-20,1389
1233,2004-05-21,1389
1234,2004-05-22,1254
1235,2004-05-23,1248
1236,2004-05-24,1276
1237,2004-05-25,1402
1238,2004-05-26,1309
1239,2004-05-27,1326
1240,2004-05-28,1365
1241,2004-05-29,1289
1242,2004-05-30,1236
1243,2004-05-31,1213
1244,2004-06-01,1641
1245,2004-06-02,1396
1246,2004-06-03,1322
1247,2004-06-04,1426
1248,2004-06-05,1290
1249,2004-06-06,1403
1250,2004-06-07,1299
1251,2004-06-08,1420
1252,2004-06-09,1457
1253,2004-06-10,1321
1254,2004-06-11,1458
1255,2004-06-12,1339
1256,2004-06-13,1341
1257,2004-06-14,1436
1258,2004-06-15,1462
1259,2004-06-16,1407
1260,2004-06-17,1284
1261,2004-06-18,1440
1262,2004-06-19,1281
1263,2004-06-20,1281
1264,2004-06-21,1323
1265,2004-06-22,1312
1266,2004-06-23,1351
1267,2004-06-24,1315
1268,2004-06-25,1251
1269,2004-06-26,1354
1270,2004-06-27,1337
1271,2004-06-28,1302
1272,2004-06-29,1337
1273,2004-06-30,1385
1274,2004-07-01,1511
1275,2004-07-02,1400
1276,2004-07-03,1299
1277,2004-07-04,1348
1278,2004-07-05,1483
1279,2004-07-06,1446
1280,2004-07-07,1412
1281,2004-07-08,1357
1282,2004-07-09,1313
1283,2004-07-10,1416
1284,2004-07-11,1361
1285,2004-07-12,1396
1286,2004-07-13,1425
1287,2004-07-14,1454
1288,2004-07-15,1457
1289,2004-07-16,1527
1290,2004-07-17,1469
1291,2004-07-18,1397
1292,2004-07-19,1405
1293,2004-07-20,1405
1294,2004-07-21,1395
1295,2004-07-22,1155
1296,2004-07-23,1233
1297,2004-07-24,1269
1298,2004-07-25,1345
1299,2004-07-26,1269
1300,2004-07-27,1394
1301,2004-07-28,1496
1302,2004-07-29,1459
1303,2004-07-30,1348
1304,2004-07-31,1461
1305,2004-08-01,1493
1306,2004-08-02,1439
1307,2004-08-03,1442
1308,2004-08-04,1364
1309,2004-08-05,1395
1310,2004-08-06,1359
1311,2004-08-07,1373
1312,2004-08-08,1398
1313,2004-08-09,1372
1314,2004-08-10,1466
1315,2004-08-11,1359
1316,2004-08-12,1268
1317,2004-08-13,1273
1318,2004-08-14,1342
1319,2004-08-15,1372
1320,2004-08-16,1365
1321,2004-08-17,1365
1322,2004-08-18,1419
1323,2004-08-19,1360
1324,2004-08-20,1447
1325,2004-08-21,1358
1326,2004-08-22,1270
1327,2004-08-23,1451
1328,2004-08-24,1397
1329,2004-08-25,1277
1330,2004-08-26,1452
1331,2004-08-27,1482
1332,2004-08-28,1363
1333,2004-08-29,1333
1334,2004-08-30,1386
1335,2004-08-31,1474
1336,2004-09-01,1587
1337,2004-09-02,1342
1338,2004-09-03,1399
1339,2004-09-04,1485
1340,2004-09-05,1439
1341,2004-09-06,1321
1342,2004-09-07,1263
1343,2004-09-08,1376
1344,2004-09-09,1346
1345,2004-09-10,1413
1346,2004-09-11,1405
1347,2004-09-12,1309
1348,2004-09-13,1362
1349,2004-09-14,1384
1350,2004-09-15,1312
1351,2004-09-16,1493
1352,2004-09-17,1398
1353,2004-09-18,1365
1354,2004-09-19,1322
1355,2004-09-20,1294
1356,2004-09-21,1408
1357,2004-09-22,1356
1358,2004-09-23,1394
1359,2004-09-24,1552
1360,2004-09-25,1358
1361,2004-09-26,1249
1362,2004-09-27,1238
1363,2004-09-28,1320
1364,2004-09-29,1314
1365,2004-09-30,1257
1366,2004-10-01,1611
1367,2004-10-02,1196
1368,2004-10-03,1194
1369,2004-10-04,1163
